Town,0-18,19-25,26-34,35-54,55-64,65+
Andover,20,32,38,39,20,17
Ansonia,198,194,297,377,206,170
Ashford,40,47,54,66,22,15
Avon,236,157,196,430,224,192
Barkhamsted,47,36,47,62,29,30
Beacon Falls,73,53,97,118,36,19
Berlin,327,448,612,853,376,318
Bethany,41,45,64,114,42,35
Bethel,306,217,305,505,230,210
Bethlehem,18,11,16,23,14,11
Bloomfield,349,366,513,863,402,339
Bolton,38,59,58,74,34,39
Bozrah,19,18,39,40,17,16
Branford,333,363,507,844,412,480
Bridgeport,2713,3467,5641,7732,2658,1795
Bridgewater,15,12,18,24,16,10
Bristol,981,959,1294,1784,766,741
Brookfield,237,200,278,514,276,283
Brooklyn,98,87,84,124,50,46
Burlington,78,38,65,103,51,47
Canaan,30,11,11,28,11,6
Canterbury,50,22,40,62,24,25
Canton,100,98,109,233,102,132
Chaplin,13,25,37,50,23,18
Cheshire,473,380,506,790,348,277
Chester,19,34,43,35,37,26
Clinton,110,105,144,234,111,145
Colchester,215,123,184,230,127,121
Colebrook,10,11,10,13,6,10
Columbia,30,56,51,74,38,47
Cornwall,16,12,16,23,8,16
Coventry,118,136,139,180,79,84
Cromwell,251,315,415,600,262,233
Danbury,2062,2011,2660,4057,1568,1310
Darien,724,396,588,1086,407,349
Deep River,33,32,35,57,40,34
Derby,239,265,399,541,226,187
Durham,92,59,76,144,53,50
East Granby,62,53,80,144,66,37
East Haddam,39,50,60,74,37,30
East Hampton,80,69,70,136,50,83
East Hartford,840,1055,1524,2096,835,546
East Haven,350,380,447,768,325,359
East Lyme,263,197,285,444,218,210
East Windsor,164,225,293,443,217,158
Eastford,7,12,21,27,12,4
Easton,82,65,62,154,80,59
Ellington,128,85,115,164,79,75
Enfield,523,539,630,869,365,380
Essex,28,23,43,75,36,54
Fairfield,1103,1099,1503,2495,1050,891
Farmington,516,498,725,1140,508,434
Franklin,30,55,59,66,35,27
Glastonbury,575,339,445,685,332,313
Goshen,13,14,23,31,18,19
Granby,102,53,68,162,83,95
Greenwich,1032,863,1455,2580,1025,887
Griswold,81,92,102,181,90,83
Groton,401,458,702,832,405,418
Guilford,277,189,204,390,228,299
Haddam,84,92,87,133,55,64
Hamden,954,1305,1566,2150,1015,895
Hampton,3,12,24,10,13,13
Hartford,3683,4370,7383,8886,3086,1884
Hartland,4,6,7,11,8,3
Harwinton,43,41,86,112,51,42
Hebron,86,51,61,67,34,33
Kent,22,12,22,36,11,19
Killingly,242,199,261,379,125,156
Killingworth,50,43,36,69,28,44
Lebanon,43,49,72,62,24,37
Ledyard,123,92,126,145,96,66
Lisbon,65,78,85,123,50,32
Litchfield,144,92,131,204,117,117
Lyme,10,8,11,11,1,6
Madison,214,158,168,297,151,234
Manchester,961,1027,1586,2050,847,850
Mansfield,235,605,228,347,131,133
Marlborough,76,65,102,121,67,36
Meriden,1450,1576,2211,2845,1049,812
Middlebury,132,156,238,364,138,158
Middlefield,28,47,77,103,46,39
Middletown,751,969,1432,1913,830,691
Milford,936,1002,1449,2055,979,885
Monroe,294,212,283,505,221,166
Montville,201,232,350,502,182,157
Morris,18,22,14,27,14,12
Naugatuck,297,290,461,649,288,249
New Britain,779,1070,1445,1718,642,552
New Canaan,280,253,256,544,251,219
New Fairfield,103,60,63,103,55,50
New Hartford,89,90,78,106,47,55
New Haven,4127,4278,7158,9277,3143,2105
New London,440,511,787,1101,443,364
New Milford,449,312,430,679,323,307
Newington,532,533,741,1088,553,469
Newtown,577,524,675,1026,525,405
Norfolk,13,22,14,10,8,6
North Branford,154,117,154,226,123,147
North Canaan,18,34,33,49,41,42
North Haven,734,789,1054,1554,606,559
North Stonington,67,81,104,162,62,55
Norwalk,1493,1618,2789,4371,1728,1373
Norwich,889,720,1071,1492,658,451
Old Lyme,96,94,135,176,105,111
Old Saybrook,143,118,159,329,207,258
Orange,537,676,924,1291,545,473
Oxford,122,98,109,163,79,70
Plainfield,208,187,222,316,120,103
Plainville,339,388,524,751,320,234
Plymouth,91,130,150,223,106,88
Pomfret,32,31,37,41,29,27
Portland,82,77,113,189,99,86
Preston,76,100,123,171,67,56
Prospect,89,68,109,169,72,83
Putnam,101,93,129,167,69,105
Redding,98,81,101,194,86,68
Ridgefield,279,175,236,503,200,208
Rocky Hill,313,403,535,736,337,286
Roxbury,18,18,28,39,23,20
Salem,22,27,48,61,34,19
Salisbury,30,34,30,57,29,59
Scotland,10,14,12,13,8,5
Seymour,237,219,301,421,172,152
Sharon,10,15,19,29,26,23
Shelton,574,438,669,977,414,423
Sherman,23,21,23,26,21,15
Simsbury,383,161,199,342,202,200
Somers,73,65,79,127,62,40
South Windsor,259,198,363,553,274,234
Southbury,239,227,325,543,256,280
Southington,742,657,912,1372,520,606
Sprague,15,9,22,30,12,10
Stafford,57,92,107,142,41,64
Stamford,2538,2379,4578,6684,2532,2203
Sterling,26,11,16,25,12,4
Stonington,222,229,332,413,290,249
Stratford,930,919,1407,2039,918,765
Suffield,154,107,142,227,115,87
Thomaston,125,118,165,267,107,89
Thompson,72,65,118,134,46,36
Tolland,168,187,184,255,109,69
Torrington,377,383,537,924,394,422
Trumbull,896,635,822,1358,592,542
Union,18,39,48,50,28,13
Vernon,520,521,773,915,404,414
Voluntown,20,29,23,31,15,16
Wallingford,592,755,1078,1452,692,622
Warren,6,6,5,4,7,5
Washington,33,23,32,53,32,24
Waterbury,3064,3100,5030,6698,2364,1771
Waterford,356,352,471,642,348,322
Watertown,266,240,297,419,220,202
West Hartford,1328,1116,1460,2015,879,929
West Haven,826,1096,1507,2069,828,583
Westbrook,55,66,99,162,65,82
Weston,64,26,18,71,29,18
Westport,746,723,1067,1841,765,577
Wethersfield,427,444,755,1101,516,427
Willington,38,87,93,122,52,44
Wilton,409,199,329,616,271,219
Winchester,138,125,176,277,126,124
Windham,338,371,414,544,250,208
Windsor,547,685,1074,1317,539,358
Windsor Locks,111,176,279,392,206,185
Wolcott,116,144,177,254,111,88
Woodbridge,214,172,225,367,133,139
Woodbury,83,61,83,131,69,97
Woodstock,46,33,38,70,29,38