TownName,Andover,Ansonia,Ashford,Avon,Barkhamsted,Beacon Falls,Berlin,Bethany,Bethel,Bethlehem,Bloomfield,Bolton,Bozrah,Branford,Bridgeport,Bridgewater,Bristol,Brookfield,Brooklyn,Burlington,Canaan,Canterbury,Canton,Chaplin,Cheshire,Chester,Clinton,Colchester,Colebrook,Columbia,Cornwall,Coventry,Cromwell,Danbury,Darien,Deep River,Derby,Durham,East Granby,East Haddam,East Hampton,East Hartford,East Haven,East Lyme,East Windsor,Eastford,Easton,Ellington,Enfield,Essex,Fairfield,Farmington,Franklin,Glastonbury,Goshen,Granby,Greenwich,Griswold,Groton,Guilford,Haddam,Hamden,Hampton,Hartford,Hartland,Harwinton,Hebron,Kent,Killingly,Killingworth,Lebanon,Ledyard,Lisbon,Litchfield,Lyme,Madison,Manchester,Mansfield,Marlborough,Meriden,Middlebury,Middlefield,Middletown,Milford,Monroe,Montville,Morris,Naugatuck,New Britain,New Canaan,New Fairfield,New Hartford,New Haven,New London,New Milford,Newington,Newtown,Norfolk,North Branford,North Canaan,North Haven,North Stonington,Norwalk,Norwich,Old Lyme,Old Saybrook,Orange,Oxford,Plainfield,Plainville,Plymouth,Pomfret,Portland,Preston,Prospect,Putnam,Redding,Ridgefield,Rocky Hill,Roxbury,Salem,Salisbury,Scotland,Seymour,Sharon,Shelton,Sherman,Simsbury,Somers,South Windsor,Southbury,Southington,Sprague,Stafford,Stamford,Sterling,Stonington,Stratford,Suffield,Thomaston,Thompson,Tolland,Torrington,Trumbull,Union,Vernon,Voluntown,Wallingford,Warren,Washington,Waterbury,Waterford,Watertown,West Hartford,West Haven,Westbrook,Weston,Westport,Wethersfield,Willington,Wilton,Winchester,Windham,Windsor,Windsor Locks,Wolcott,Woodbridge,Woodbury,Woodstock
Dry,63,487,80,490,84,139,940,127,618,39,1010,112,59,1026,8985,40,2177,608,160,126,36,83,299,60,881,83,323,314,19,102,37,276,712,4611,1043,98,631,157,154,112,171,2291,952,525,500,22,189,204,1072,105,2763,1245,94,841,36,217,2553,208,1178,572,169,2851,29,10316,16,151,116,38,470,101,124,214,152,265,23,431,2293,546,147,3194,381,113,2142,2546,519,531,50,828,2312,635,139,160,10276,1410,800,1262,1180,25,306,83,1825,179,4897,1866,215,447,1469,248,387,803,279,70,230,201,193,234,236,514,848,61,68,83,28,522,56,1217,63,501,126,589,650,1554,48,184,7995,38,595,2532,286,301,189,285,1163,1512,51,1080,47,1809,12,80,7732,834,558,2440,2616,193,67,1809,1209,131,658,338,680,1522,441,288,410,187,105
Standing Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,2,0,0,0,0,2,0,0,0,0,0,0,4,0,0,1,0,2,0,1,2,2,6,3,0,0,0,3,0,1,0,0,2,0,0,0,1,0,0,1,0,1,0,4,0,0,1,0,0,5,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1
Wet,4,98,17,106,20,44,241,22,148,8,194,28,19,163,1568,6,432,90,34,30,5,15,46,12,173,14,67,72,5,24,3,73,146,1003,208,23,147,37,29,30,40,423,141,67,106,11,43,51,214,14,545,303,17,178,12,39,495,45,192,120,58,477,7,2163,6,19,17,12,80,16,32,47,37,61,3,76,477,126,52,692,92,16,457,449,175,133,11,165,470,101,37,38,1874,287,176,266,224,5,75,33,279,29,827,380,41,61,246,46,92,187,63,16,46,39,51,58,59,148,145,14,22,29,5,150,14,200,16,83,37,137,132,360,4,42,1400,9,106,440,62,72,35,77,188,323,13,234,9,355,6,20,1635,163,107,490,394,33,26,287,245,43,139,69,136,285,113,98,88,30,18
Snow,3,4,10,28,4,3,25,5,16,5,23,5,1,9,100,1,63,13,8,7,7,6,8,2,20,3,9,22,7,6,8,24,21,114,26,4,13,3,11,3,5,40,26,12,10,5,10,12,39,4,62,37,3,23,11,7,38,6,33,12,7,70,0,148,1,19,9,5,28,5,4,6,9,12,1,12,60,38,12,79,9,6,34,42,25,28,2,20,59,26,16,11,174,27,38,19,48,7,18,1,21,10,85,60,4,18,25,18,18,18,21,8,5,6,9,15,22,28,14,6,4,15,1,12,3,40,4,28,12,22,33,40,2,11,150,2,21,47,17,22,9,20,49,45,10,41,3,56,2,7,197,20,33,46,63,3,5,34,27,11,27,24,14,59,15,21,12,5,8
Slush,0,4,4,6,6,5,18,1,5,0,10,2,1,4,25,1,28,7,0,3,3,4,3,4,13,2,5,7,2,2,1,7,8,25,5,2,3,1,2,1,0,15,6,7,3,3,5,10,9,3,17,20,1,5,4,3,11,2,7,2,7,16,0,74,1,3,2,3,13,1,1,3,1,11,0,4,18,7,8,28,6,4,14,11,4,12,1,6,41,6,5,6,51,12,10,12,17,0,2,1,12,3,18,13,0,0,6,5,12,7,5,2,2,4,2,8,6,7,8,1,2,1,1,7,3,5,0,7,6,10,7,20,0,9,43,0,16,7,3,3,13,21,13,10,17,14,0,12,0,0,75,3,10,16,8,0,0,5,12,10,5,6,4,27,12,4,6,6,5
Ice / Frost,4,4,4,14,1,10,18,4,11,0,19,2,6,10,76,1,34,5,3,8,2,4,8,3,19,7,4,17,3,5,5,13,11,56,5,5,5,13,2,8,9,36,6,3,10,5,3,10,14,1,34,32,1,26,2,9,18,10,13,6,12,35,6,112,3,9,3,1,34,6,5,10,2,10,1,6,47,23,7,52,7,8,25,18,15,12,1,24,41,5,7,4,72,12,9,12,22,8,6,0,21,8,28,30,4,3,10,12,17,18,7,6,7,6,5,10,22,15,9,5,6,5,2,14,1,26,4,7,13,11,14,32,4,9,50,3,8,11,5,17,6,17,26,18,6,30,2,32,0,8,160,10,15,26,22,2,2,10,10,10,18,18,27,25,8,13,14,11,11
Moving Water,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,2,0,2,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,3,0,0,1,0,0,2,0,1,1,0,0,0,0,2,0,0,0,0,0,0,3,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,4,0,0,0,3,0,0,6,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Sand,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0,0,0,1,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,55,1,3,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,1
Mud,0,0,5,1,3,0,0,0,0,0,2,0,0,3,2,0,0,1,0,2,1,1,0,0,0,0,1,2,1,0,1,0,1,4,0,0,1,0,0,3,3,0,0,0,0,0,0,1,2,0,1,4,3,1,2,0,4,1,1,1,4,1,0,5,0,2,0,1,3,0,2,0,0,3,0,2,2,2,0,4,0,0,3,3,2,1,0,1,3,0,0,1,3,0,10,0,4,1,0,0,1,0,1,5,0,0,1,0,1,0,1,0,1,0,1,1,2,0,0,0,0,2,0,0,1,1,0,1,1,1,3,1,0,3,1,0,3,0,0,0,0,5,4,3,0,1,2,0,1,1,13,1,1,0,1,0,0,1,2,3,3,1,0,0,2,1,0,4,2
Dirt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gravel,0,0,0,0,0,1,1,0,3,1,1,1,0,0,3,0,2,0,0,1,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,2,0,1,0,0,1,0,0,1,0,2,0,1,3,0,8,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,3,0,1,1,1,0,0,0,3,2,2,0,1,4,7,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,2,0,0,0,0,1,1,0,0,4,0,0,2,0,0,2,0,0,0,0,1,0,2,0,0,8,0,1,2,2,0,0,1,0,0,0,2,0,1,0,1,0,0,0
Oil,0,1,0,4,2,0,1,1,0,0,7,1,0,1,80,0,8,1,0,0,0,0,2,0,2,1,4,0,0,0,0,4,15,77,3,1,0,0,1,1,1,7,2,1,0,0,0,1,23,0,26,6,0,0,1,2,6,0,12,1,0,10,0,4,0,0,0,0,3,0,0,1,0,3,0,1,9,15,0,17,1,1,23,11,0,6,0,13,74,9,0,1,114,3,6,0,4,0,1,0,5,1,96,20,1,1,2,0,0,1,2,0,0,1,0,0,1,1,4,0,0,2,0,3,2,1,0,1,0,2,9,1,0,1,48,0,2,18,2,1,0,0,4,8,0,4,0,11,0,1,62,0,0,9,26,0,0,7,5,0,2,1,1,23,0,0,0,0,0
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
